run_key,timestamp,git_commit,hostname,python_impl,python_version,n_colors,capacity,n_empty,n_tubes,instance_seed,instance_solvable,operator_model,cost_model,canon_level,algorithm,algo_param,heuristic,tie_break,goal_test,dup_policy,solved,timeout_reason,solution_cost,solution_length_moves,c_star,subopt_ratio,expanded,generated,duplicates_detected,reopened,dead_ends_detected,h_evaluations,canon_calls,canon_time_s,wall_time_s,peak_rss_mb,open_max_size,closed_max_size,iterations,first_incumbent_time_s
90f6ae990d3d406aa4cc4d74e5a546fd9654cf1d,2026-08-09T09:00:21,c282295,vm,CPython,3.12.3,3,3,1,4,0,True,pour,M1,L1,astar_early,,h4,"f,-g,fifo",early,open_u_closed_reopen,True,,5,5,,,5,9,0,0,0,8,8,6.167999970330129e-06,0.00010860700001558143,15.9140625,4,5,0,0.00010860700001558143
e8508447365071bebe06650108dd4556afdf78a0,2026-08-09T09:00:21,c282295,vm,CPython,3.12.3,3,3,2,5,0,True,pour,M1,L1,astar_early,,h4,"f,-g,fifo",early,open_u_closed_reopen,True,,5,5,,,5,26,11,0,0,14,25,1.633100004028165e-05,0.00017902899998034627,16.13671875,10,5,0,0.00017902899998034627
52ab4cde0885d3dd42f4c3672a54cfe15261e4df,2026-08-09T09:00:21,c282295,vm,CPython,3.12.3,3,4,1,4,0,True,pour,M1,L1,astar_early,,h4,"f,-g,fifo",early,open_u_closed_reopen,True,,8,8,,,8,14,0,0,0,13,13,8.78899999179339e-06,0.00014911800002437303,16.1484375,6,8,0,0.00014911800002437303
91ba261a5d92d191762c47986113da4cd5bfe256,2026-08-09T09:00:21,c282295,vm,CPython,3.12.3,3,4,2,5,0,True,pour,M1,L1,astar_early,,h4,"f,-g,fifo",early,open_u_closed_reopen,True,,8,8,,,8,43,14,0,0,28,42,2.5965000133965077e-05,0.0002813449999621298,16.15625,21,8,0,0.0002813449999621298
6f9b1179b07936b902ec3fa8f56e21633ecfe737,2026-08-09T09:00:21,c282295,vm,CPython,3.12.3,4,3,1,5,0,False,pour,M1,L1,astar_early,,h4,"f,-g,fifo",early,open_u_closed_reopen,False,unsolvable_instance,,,,,,,,,,,,,,,,,,
61bf328cf74b92fd5cf17630518fba08103791ca,2026-08-09T09:00:21,c282295,vm,CPython,3.12.3,4,3,2,6,0,True,pour,M1,L1,astar_early,,h4,"f,-g,fifo",early,open_u_closed_reopen,True,,10,10,,,10,44,16,0,0,27,43,3.2749999661518814e-05,0.00034983099999408296,16.16015625,18,10,0,0.00034983099999408296
66408f2b71dccdf5f5e7798cf1d96bcde316dc78,2026-08-09T09:00:21,c282295,vm,CPython,3.12.3,4,4,1,5,0,True,pour,M1,L1,astar_early,,h4,"f,-g,fifo",early,open_u_closed_reopen,True,,11,11,,,11,18,0,0,0,17,17,1.1915000015960686e-05,0.00020847300004334102,16.16015625,7,11,0,0.00020847300004334102
98c7432cda645663486a24f09a36bb206b5480ed,2026-08-09T09:00:21,c282295,vm,CPython,3.12.3,4,4,2,6,0,True,pour,M1,L1,astar_early,,h4,"f,-g,fifo",early,open_u_closed_reopen,True,,11,11,,,11,67,21,0,0,45,66,4.4714000239309826e-05,0.0004624489999969228,16.16015625,35,11,0,0.0004624489999969228
7be6bc9d16dfc4c7ef58635f6bb7cf22c563444c,2026-08-09T09:00:21,c282295,vm,CPython,3.12.3,5,3,1,6,0,False,pour,M1,L1,astar_early,,h4,"f,-g,fifo",early,open_u_closed_reopen,False,unsolvable_instance,,,,,,,,,,,,,,,,,,
a0ce8a14cade7c5259490638d233d718da97527d,2026-08-09T09:00:21,c282295,vm,CPython,3.12.3,5,3,2,7,0,True,pour,M1,L1,astar_early,,h4,"f,-g,fifo",early,open_u_closed_reopen,True,,11,11,,,14,73,35,0,0,37,72,5.3153000123984384e-05,0.0005387570000152664,16.1640625,24,14,0,0.0005387570000152664
68d951971e90f06d95a676aaa924d3b424fcbcb1,2026-08-09T09:00:21,c282295,vm,CPython,3.12.3,5,4,1,6,0,False,pour,M1,L1,astar_early,,h4,"f,-g,fifo",early,open_u_closed_reopen,False,unsolvable_instance,,,,,,,,,,,,,,,,,,
d121f49fd5b5d3c8565d152d5bf3a30d99d512f6,2026-08-09T09:00:21,c282295,vm,CPython,3.12.3,5,4,2,7,0,True,pour,M1,L1,astar_early,,h4,"f,-g,fifo",early,open_u_closed_reopen,True,,15,15,,,35,200,79,0,0,120,199,0.00013210899999194226,0.0014166270000259829,16.1640625,86,35,0,0.0014166270000259829
52e8849e758942348ff41262dcc21f6de45d2d50,2026-08-09T09:00:21,c282295,vm,CPython,3.12.3,6,3,1,7,0,False,pour,M1,L1,astar_early,,h4,"f,-g,fifo",early,open_u_closed_reopen,False,unsolvable_instance,,,,,,,,,,,,,,,,,,
c7d08fae4b9f149a835aeee138569f439dfe58d3,2026-08-09T09:00:21,c282295,vm,CPython,3.12.3,6,3,2,8,0,True,pour,M1,L1,astar_early,,h4,"f,-g,fifo",early,open_u_closed_reopen,True,,10,10,,,10,62,27,0,0,34,61,5.449699989412693e-05,0.00042293800004244986,16.1640625,25,10,0,0.00042293800004244986
19ed7e2541e159eb85b7dc41ed2f9e2f06c8987b,2026-08-09T09:00:21,c282295,vm,CPython,3.12.3,6,4,1,7,0,False,pour,M1,L1,astar_early,,h4,"f,-g,fifo",early,open_u_closed_reopen,False,unsolvable_instance,,,,,,,,,,,,,,,,,,
07a20226a79a47de36d2faae82aaee179ecb3db3,2026-08-09T09:00:21,c282295,vm,CPython,3.12.3,6,4,2,8,0,True,pour,M1,L1,astar_early,,h4,"f,-g,fifo",early,open_u_closed_reopen,True,,18,18,,,18,84,25,0,0,58,83,6.030300005477329e-05,0.0006770050000000083,16.1640625,41,18,0,0.0006770050000000083
7f07ab4e2485101fd7d7d9554bf94b22f79e3276,2026-08-09T09:00:21,c282295,vm,CPython,3.12.3,3,3,1,4,1,True,pour,M1,L1,astar_early,,h4,"f,-g,fifo",early,open_u_closed_reopen,True,,4,4,,,4,7,0,0,0,6,6,5.264999970222561e-06,9.039799999754905e-05,16.16796875,3,4,0,9.039799999754905e-05
becce657b8b876c8d866506c5ef9262ef162842e,2026-08-09T09:00:21,c282295,vm,CPython,3.12.3,3,3,2,5,1,True,pour,M1,L1,astar_early,,h4,"f,-g,fifo",early,open_u_closed_reopen,True,,4,4,,,4,18,8,0,0,9,17,1.1814999993475794e-05,0.0001333230000000185,16.16796875,6,4,0,0.0001333230000000185
1bde762ae317780f9f023e0d8f72a0d91bc6632c,2026-08-09T09:00:21,c282295,vm,CPython,3.12.3,3,4,1,4,1,False,pour,M1,L1,astar_early,,h4,"f,-g,fifo",early,open_u_closed_reopen,False,unsolvable_instance,,,,,,,,,,,,,,,,,,
68b84138c2c6db072a8064782f2d1fde27ba30c0,2026-08-09T09:00:21,c282295,vm,CPython,3.12.3,3,4,2,5,1,True,pour,M1,L1,astar_early,,h4,"f,-g,fifo",early,open_u_closed_reopen,True,,10,10,,,10,46,15,0,0,30,45,2.828299972179593e-05,0.00031553600001643645,16.16796875,21,10,0,0.00031553600001643645
b24639772198ae4d8569dd7e0083afad58a1b4f5,2026-08-09T09:00:21,c282295,vm,CPython,3.12.3,4,3,1,5,1,True,pour,M1,L1,astar_early,,h4,"f,-g,fifo",early,open_u_closed_reopen,True,,10,10,,,13,23,2,0,0,20,22,1.6849000019192317e-05,0.00022957800001677242,16.16796875,8,13,0,0.00022957800001677242
37873b199c3f35ba402272d6b9d571873660602b,2026-08-09T09:00:21,c282295,vm,CPython,3.12.3,4,3,2,6,1,True,pour,M1,L1,astar_early,,h4,"f,-g,fifo",early,open_u_closed_reopen,True,,10,10,,,10,44,17,0,0,26,43,3.215200018757969e-05,0.00036129299996900954,16.16796875,17,10,0,0.00036129299996900954
23370d726e4b0c484ab8c778bec3be6089df4e08,2026-08-09T09:00:21,c282295,vm,CPython,3.12.3,4,4,1,5,1,False,pour,M1,L1,astar_early,,h4,"f,-g,fifo",early,open_u_closed_reopen,False,unsolvable_instance,,,,,,,,,,,,,,,,,,
585450e251cef33d2905c63df7bc860dd375f9c8,2026-08-09T09:00:21,c282295,vm,CPython,3.12.3,4,4,2,6,1,True,pour,M1,L1,astar_early,,h4,"f,-g,fifo",early,open_u_closed_reopen,True,,12,12,,,12,68,26,0,0,41,67,4.15179998185522e-05,0.0004273139999781961,16.16796875,30,12,0,0.0004273139999781961
a7464bac265a96fe582dd048e8c8dfc0a876d7e7,2026-08-09T09:00:21,c282295,vm,CPython,3.12.3,5,3,1,6,1,False,pour,M1,L1,astar_early,,h4,"f,-g,fifo",early,open_u_closed_reopen,False,unsolvable_instance,,,,,,,,,,,,,,,,,,
