N,C,E,seed,heuristic,canon_level,solved,timeout_reason,cost,expanded,generated,duplicates_detected,reopened,canon_calls,canon_time_s,wall_time_s,h_evaluations,open_max_size,closed_max_size,peak_rss_mb
4,4,1,0,h1,L0,1,,11,24,33,2,0,32,1.3e-05,0.0004,30,7,24,14.5
4,4,1,0,h1,L1,1,,11,24,33,2,0,32,2.4e-05,0.0003,30,7,24,14.5
4,4,1,0,h1,L2,1,,11,24,33,3,0,32,0.00074,0.0012,29,6,24,14.5
4,4,1,0,h1,L3,1,,11,24,33,3,0,32,0.000907,0.0013,29,6,24,14.5
4,4,1,0,h4,L0,1,,11,11,18,0,0,17,7e-06,0.0002,17,7,11,14.5
4,4,1,0,h4,L1,1,,11,11,18,0,0,17,1.5e-05,0.0002,17,7,11,14.5
4,4,1,0,h4,L2,1,,11,11,18,0,0,17,0.000403,0.0006,17,7,11,14.5
4,4,1,0,h4,L3,1,,11,11,18,0,0,17,0.000482,0.0007,17,7,11,14.5
4,4,1,2,h1,L0,1,,12,13,24,0,0,23,8e-06,0.0002,23,11,13,14.5
4,4,1,2,h1,L1,1,,12,13,24,0,0,23,1.7e-05,0.0003,23,11,13,14.5
4,4,1,2,h1,L2,1,,12,13,24,0,0,23,0.000536,0.0008,23,11,13,14.5
4,4,1,2,h1,L3,1,,12,13,24,0,0,23,0.000612,0.0009,23,11,13,14.5
4,4,1,2,h4,L0,1,,12,13,28,1,0,27,1e-05,0.0003,26,14,13,14.5
4,4,1,2,h4,L1,1,,12,13,28,2,0,27,1.9e-05,0.0003,25,13,13,14.5
4,4,1,2,h4,L2,1,,12,13,28,4,0,27,0.000646,0.0009,23,12,13,14.5
4,4,1,2,h4,L3,1,,12,13,28,4,0,27,0.000809,0.0012,23,12,13,14.5
4,4,1,8,h1,L0,1,,8,19,28,1,0,27,9e-06,0.0003,26,8,19,14.5
4,4,1,8,h1,L1,1,,8,19,28,1,0,27,2e-05,0.0003,26,8,19,14.5
4,4,1,8,h1,L2,1,,8,19,28,4,0,27,0.00065,0.001,24,6,19,14.5
4,4,1,8,h1,L3,1,,8,19,28,4,0,27,0.00078,0.0011,24,6,19,14.5
4,4,1,8,h4,L0,1,,8,8,14,0,0,13,5e-06,0.0001,13,6,8,14.5
4,4,1,8,h4,L1,1,,8,8,14,0,0,13,1e-05,0.0001,13,6,8,14.5
4,4,1,8,h4,L2,1,,8,8,14,0,0,13,0.000344,0.0005,13,6,8,14.5
4,4,1,8,h4,L3,1,,8,8,14,0,0,13,0.000335,0.0005,13,6,8,14.5
4,4,1,9,h1,L0,1,,10,10,17,0,0,16,6e-06,0.0002,16,7,10,14.5
4,4,1,9,h1,L1,1,,10,10,17,0,0,16,1.2e-05,0.0002,16,7,10,14.5
4,4,1,9,h1,L2,1,,10,10,17,0,0,16,0.000359,0.0005,16,7,10,14.5
4,4,1,9,h1,L3,1,,10,10,17,0,0,16,0.000405,0.0006,16,7,10,14.5
4,4,1,9,h4,L0,1,,10,10,17,0,0,16,6e-06,0.0002,16,7,10,14.5
4,4,1,9,h4,L1,1,,10,10,17,0,0,16,1.3e-05,0.0002,16,7,10,14.5
4,4,1,9,h4,L2,1,,10,10,17,0,0,16,0.000389,0.0006,16,7,10,14.5
4,4,1,9,h4,L3,1,,10,10,17,0,0,16,0.000428,0.0006,16,7,10,14.6
4,4,1,12,h1,L0,1,,12,20,26,0,0,25,9e-06,0.0003,25,6,20,14.6
4,4,1,12,h1,L1,1,,12,20,26,1,0,25,1.8e-05,0.0003,24,5,20,14.6
4,4,1,12,h1,L2,1,,12,20,26,1,0,25,0.000573,0.0009,24,5,20,14.6
4,4,1,12,h1,L3,1,,12,20,26,1,0,25,0.000701,0.001,24,5,20,14.6
4,4,1,12,h4,L0,1,,12,22,34,2,0,33,1.2e-05,0.0004,31,10,22,14.6
4,4,1,12,h4,L1,1,,12,21,30,3,0,29,2.1e-05,0.0003,26,6,21,14.6
